year,cpi_annual_avg
2000,172.20000000000002
2001,177.0666666666667
2002,179.875
2003,183.95833333333334
2004,188.88333333333333
2005,195.29166666666666
2006,201.59166666666667
2007,207.34241666666665
2008,215.3025
2009,214.537
2010,218.05550000000002
2011,224.93916666666667
2012,229.59391666666667
2013,232.95708333333334
2014,236.73616666666666
2015,237.01700000000002
2016,240.00716666666665
2017,245.11958333333334
2018,251.10683333333336
2019,255.65741666666668
2020,258.8111666666667
2021,270.96975000000003
2022,292.6549166666667
2023,304.7015833333333
2024,313.6888333333333
