country,academic_year,total_enrollment
Nigeria,1949/50,176
Nigeria,1954/55,268
Nigeria,1959/60,258
Nigeria,1964/65,1382
Nigeria,1969/70,1851
Nigeria,1974/75,7210
Nigeria,1979/80,16360
Nigeria,1984/85,18370
Nigeria,1989/90,4480
Nigeria,1994/95,2147
Nigeria,1999/00,3602
Nigeria,2000/01,3820
Nigeria,2001/02,4499
Nigeria,2002/03,5816
Nigeria,2003/04,6140
Nigeria,2004/05,6335
Nigeria,2005/06,6192
Nigeria,2006/07,5943
Nigeria,2007/08,6222
Nigeria,2008/09,6256
Nigeria,2009/10,6568
Nigeria,2010/11,7148
Nigeria,2011/12,7028
Nigeria,2012/13,7316
Nigeria,2013/14,7921
Nigeria,2014/15,9494
Nigeria,2015/16,10674
Nigeria,2016/17,11710
Nigeria,2017/18,12693
Nigeria,2018/19,13423
Nigeria,2019/20,13762
Nigeria,2020/21,12860
Nigeria,2021/22,14438
Nigeria,2022/23,17640
Nigeria,2023/24,20029
Nigeria,2024/25,21847
China,1964/65,5
China,1969/70,19
China,1974/75,22
China,1979/80,1000
China,1984/85,10100
China,1989/90,33390
China,1994/95,39403
China,1999/00,54466
China,2000/01,59939
China,2001/02,63211
China,2002/03,64757
China,2003/04,61765
China,2004/05,62523
China,2005/06,62582
China,2006/07,67723
China,2007/08,81127
China,2008/09,98235
China,2009/10,127628
China,2010/11,157558
China,2011/12,194029
China,2012/13,235597
China,2013/14,274439
China,2014/15,304040
China,2015/16,328547
China,2016/17,350755
China,2017/18,363341
China,2018/19,369548
China,2019/20,372532
China,2020/21,317299
China,2021/22,290086
China,2022/23,289526
China,2023/24,277398
China,2024/25,265919
Japan,1949/50,265
Japan,1954/55,1673
Japan,1959/60,2248
Japan,1964/65,3534
Japan,1969/70,4311
Japan,1974/75,5930
Japan,1979/80,12260
Japan,1984/85,13160
Japan,1989/90,29840
Japan,1994/95,45276
Japan,1999/00,46872
Japan,2000/01,46497
Japan,2001/02,46810
Japan,2002/03,45960
Japan,2003/04,40835
Japan,2004/05,42215
Japan,2005/06,38712
Japan,2006/07,35282
Japan,2007/08,33974
Japan,2008/09,29264
Japan,2009/10,24842
Japan,2010/11,21290
Japan,2011/12,19966
Japan,2012/13,19568
Japan,2013/14,19334
Japan,2014/15,19064
Japan,2015/16,19060
Japan,2016/17,18780
Japan,2017/18,18753
Japan,2018/19,18105
Japan,2019/20,17554
Japan,2020/21,11785
Japan,2021/22,13449
Japan,2022/23,16054
Japan,2023/24,13959
Japan,2024/25,13814
South Korea,1949/50,258
South Korea,1954/55,1197
South Korea,1959/60,2474
South Korea,1964/65,2604
South Korea,1969/70,3991
South Korea,1974/75,3390
South Korea,1979/80,4890
South Korea,1984/85,16430
South Korea,1989/90,21710
South Korea,1994/95,33599
South Korea,1999/00,41191
South Korea,2000/01,45685
South Korea,2001/02,49046
South Korea,2002/03,51519
South Korea,2003/04,52484
South Korea,2004/05,53358
South Korea,2005/06,59022
South Korea,2006/07,62392
South Korea,2007/08,69124
South Korea,2008/09,75065
South Korea,2009/10,72153
South Korea,2010/11,73351
South Korea,2011/12,72295
South Korea,2012/13,70627
South Korea,2013/14,68047
South Korea,2014/15,63710
South Korea,2015/16,61007
South Korea,2016/17,58663
South Korea,2017/18,54555
South Korea,2018/19,52250
South Korea,2019/20,49809
South Korea,2020/21,39491
South Korea,2021/22,40755
South Korea,2022/23,43847
South Korea,2023/24,43149
South Korea,2024/25,42293
Afghanistan,1949/50,48
Afghanistan,1954/55,82
Afghanistan,1959/60,99
Afghanistan,1964/65,159
Afghanistan,1969/70,268
Afghanistan,1974/75,290
Afghanistan,1979/80,270
Afghanistan,1984/85,138
Afghanistan,1989/90,220
Afghanistan,1994/95,111
Afghanistan,1999/00,110
Afghanistan,2000/01,75
Afghanistan,2001/02,92
Afghanistan,2002/03,102
Afghanistan,2003/04,109
Afghanistan,2004/05,155
Afghanistan,2005/06,175
Afghanistan,2006/07,268
Afghanistan,2007/08,338
Afghanistan,2008/09,407
Afghanistan,2009/10,426
Afghanistan,2010/11,429
Afghanistan,2011/12,371
Afghanistan,2012/13,449
Afghanistan,2013/14,450
Afghanistan,2014/15,471
Afghanistan,2015/16,498
Afghanistan,2016/17,506
Afghanistan,2017/18,476
Afghanistan,2018/19,418
Afghanistan,2019/20,422
Afghanistan,2020/21,354
Afghanistan,2021/22,420
Afghanistan,2022/23,682
Afghanistan,2023/24,702
Afghanistan,2024/25,712
India,1949/50,1359
India,1954/55,1673
India,1959/60,3780
India,1964/65,6814
India,1969/70,11329
India,1974/75,9660
India,1979/80,8760
India,1984/85,14620
India,1989/90,26240
India,1994/95,33537
India,1999/00,42337
India,2000/01,54664
India,2001/02,66836
India,2002/03,74603
India,2003/04,79736
India,2004/05,80466
India,2005/06,76503
India,2006/07,83833
India,2007/08,94563
India,2008/09,103260
India,2009/10,104897
India,2010/11,103895
India,2011/12,100270
India,2012/13,96754
India,2013/14,102673
India,2014/15,132888
India,2015/16,165918
India,2016/17,186267
India,2017/18,196271
India,2018/19,202014
India,2019/20,193124
India,2020/21,167582
India,2021/22,199182
India,2022/23,268923
India,2023/24,331602
India,2024/25,363019
Nepal,1954/55,4
Nepal,1959/60,34
Nepal,1964/65,84
Nepal,1969/70,109
Nepal,1974/75,58
Nepal,1979/80,180
Nepal,1984/85,320
Nepal,1989/90,610
Nepal,1994/95,1264
Nepal,1999/00,2411
Nepal,2000/01,2618
Nepal,2001/02,3019
Nepal,2002/03,3729
Nepal,2003/04,4384
Nepal,2004/05,4861
Nepal,2005/06,6061
Nepal,2006/07,7754
Nepal,2007/08,8936
Nepal,2008/09,11581
Nepal,2009/10,11233
Nepal,2010/11,10301
Nepal,2011/12,9621
Nepal,2012/13,8920
Nepal,2013/14,8155
Nepal,2014/15,8158
Nepal,2015/16,9662
Nepal,2016/17,11607
Nepal,2017/18,13270
Nepal,2018/19,13229
Nepal,2019/20,12730
Nepal,2020/21,11172
Nepal,2021/22,11799
Nepal,2022/23,15090
Nepal,2023/24,16742
