country,academic_year,academic_level,enrollment
Afghanistan,2000/01,enrollment_grad,11
Afghanistan,2000/01,enrollment_other,7
Afghanistan,2000/01,enrollment_undergrad,57
Afghanistan,2001/02,enrollment_grad,13
Afghanistan,2001/02,enrollment_other,4
Afghanistan,2001/02,enrollment_undergrad,75
Afghanistan,2002/03,enrollment_grad,14
Afghanistan,2002/03,enrollment_other,4
Afghanistan,2002/03,enrollment_undergrad,84
Afghanistan,2003/04,enrollment_grad,19
Afghanistan,2003/04,enrollment_other,9
Afghanistan,2003/04,enrollment_undergrad,81
Afghanistan,2004/05,enrollment_grad,27
Afghanistan,2004/05,enrollment_other,38
Afghanistan,2004/05,enrollment_undergrad,90
Afghanistan,2005/06,enrollment_grad,37
Afghanistan,2005/06,enrollment_other,52
Afghanistan,2005/06,enrollment_undergrad,86
Afghanistan,2006/07,enrollment_grad,55
Afghanistan,2006/07,enrollment_other,46
Afghanistan,2006/07,enrollment_undergrad,167
Afghanistan,2007/08,enrollment_grad,123
Afghanistan,2007/08,enrollment_other,36
Afghanistan,2007/08,enrollment_undergrad,179
Afghanistan,2008/09,enrollment_grad,154
Afghanistan,2008/09,enrollment_other,32
Afghanistan,2008/09,enrollment_undergrad,221
Afghanistan,2009/10,enrollment_grad,185
Afghanistan,2009/10,enrollment_other,42
Afghanistan,2009/10,enrollment_undergrad,199
Afghanistan,2010/11,enrollment_grad,170
Afghanistan,2010/11,enrollment_other,89
Afghanistan,2010/11,enrollment_undergrad,170
Afghanistan,2011/12,enrollment_grad,155
Afghanistan,2011/12,enrollment_other,50
Afghanistan,2011/12,enrollment_undergrad,166
Afghanistan,2012/13,enrollment_grad,191
Afghanistan,2012/13,enrollment_other,66
Afghanistan,2012/13,enrollment_undergrad,192
Afghanistan,2013/14,enrollment_grad,201
Afghanistan,2013/14,enrollment_other,45
Afghanistan,2013/14,enrollment_undergrad,204
Afghanistan,2014/15,enrollment_grad,227
Afghanistan,2014/15,enrollment_other,39
Afghanistan,2014/15,enrollment_undergrad,205
Afghanistan,2015/16,enrollment_grad,240
Afghanistan,2015/16,enrollment_other,44
Afghanistan,2015/16,enrollment_undergrad,214
Afghanistan,2016/17,enrollment_grad,232
Afghanistan,2016/17,enrollment_other,45
Afghanistan,2016/17,enrollment_undergrad,229
Afghanistan,2017/18,enrollment_grad,230
Afghanistan,2017/18,enrollment_other,75
Afghanistan,2017/18,enrollment_undergrad,171
Afghanistan,2018/19,enrollment_grad,197
Afghanistan,2018/19,enrollment_other,66
Afghanistan,2018/19,enrollment_undergrad,155
Afghanistan,2019/20,enrollment_grad,228
Afghanistan,2019/20,enrollment_other,49
Afghanistan,2019/20,enrollment_undergrad,145
Afghanistan,2020/21,enrollment_grad,171
Afghanistan,2020/21,enrollment_other,50
Afghanistan,2020/21,enrollment_undergrad,133
Afghanistan,2021/22,enrollment_grad,219
Afghanistan,2021/22,enrollment_other,61
Afghanistan,2021/22,enrollment_undergrad,140
Afghanistan,2022/23,enrollment_grad,325
Afghanistan,2022/23,enrollment_other,105
Afghanistan,2022/23,enrollment_undergrad,252
Afghanistan,2023/24,enrollment_grad,287
Afghanistan,2023/24,enrollment_other,100
Afghanistan,2023/24,enrollment_undergrad,315
Afghanistan,2024/25,enrollment_grad,278
Afghanistan,2024/25,enrollment_other,60
Afghanistan,2024/25,enrollment_undergrad,374
Brazil,2000/01,enrollment_grad,3097
Brazil,2000/01,enrollment_other,755
Brazil,2000/01,enrollment_undergrad,4994
Brazil,2001/02,enrollment_grad,3271
Brazil,2001/02,enrollment_other,781
Brazil,2001/02,enrollment_undergrad,4921
Brazil,2002/03,enrollment_grad,3255
Brazil,2002/03,enrollment_other,664
Brazil,2002/03,enrollment_undergrad,4469
Brazil,2003/04,enrollment_grad,3018
Brazil,2003/04,enrollment_other,538
Brazil,2003/04,enrollment_undergrad,4243
Brazil,2004/05,enrollment_grad,2814
Brazil,2004/05,enrollment_other,675
Brazil,2004/05,enrollment_undergrad,3755
Brazil,2005/06,enrollment_grad,2599
Brazil,2005/06,enrollment_other,828
Brazil,2005/06,enrollment_undergrad,3582
Brazil,2006/07,enrollment_grad,2653
Brazil,2006/07,enrollment_other,953
Brazil,2006/07,enrollment_undergrad,3520
Brazil,2007/08,enrollment_grad,2804
Brazil,2007/08,enrollment_other,1062
Brazil,2007/08,enrollment_undergrad,3712
Brazil,2008/09,enrollment_grad,3019
Brazil,2008/09,enrollment_other,1547
Brazil,2008/09,enrollment_undergrad,4201
Brazil,2009/10,enrollment_grad,3121
Brazil,2009/10,enrollment_other,1582
Brazil,2009/10,enrollment_undergrad,4083
Brazil,2010/11,enrollment_grad,3054
Brazil,2010/11,enrollment_other,1662
Brazil,2010/11,enrollment_undergrad,4061
Brazil,2011/12,enrollment_grad,2949
Brazil,2011/12,enrollment_other,1865
Brazil,2011/12,enrollment_undergrad,4215
Brazil,2012/13,enrollment_grad,2994
Brazil,2012/13,enrollment_other,3191
Brazil,2012/13,enrollment_undergrad,4683
Brazil,2013/14,enrollment_grad,3118
Brazil,2013/14,enrollment_other,5071
Brazil,2013/14,enrollment_undergrad,5097
Brazil,2014/15,enrollment_grad,4110
Brazil,2014/15,enrollment_other,12691
Brazil,2014/15,enrollment_undergrad,6874
Brazil,2015/16,enrollment_grad,4308
Brazil,2015/16,enrollment_other,8072
Brazil,2015/16,enrollment_undergrad,6990
Brazil,2016/17,enrollment_grad,3977
Brazil,2016/17,enrollment_other,2802
Brazil,2016/17,enrollment_undergrad,6310
Brazil,2017/18,enrollment_grad,4208
Brazil,2017/18,enrollment_other,3053
Brazil,2017/18,enrollment_undergrad,7359
Brazil,2018/19,enrollment_grad,4732
Brazil,2018/19,enrollment_other,3559
Brazil,2018/19,enrollment_undergrad,7768
Brazil,2019/20,enrollment_grad,4811
Brazil,2019/20,enrollment_other,3488
Brazil,2019/20,enrollment_undergrad,8372
Brazil,2020/21,enrollment_grad,4159
Brazil,2020/21,enrollment_other,2568
Brazil,2020/21,enrollment_undergrad,7273
Brazil,2021/22,enrollment_grad,4752
Brazil,2021/22,enrollment_other,2800
Brazil,2021/22,enrollment_undergrad,7345
Brazil,2022/23,enrollment_grad,4908
Brazil,2022/23,enrollment_other,3257
Brazil,2022/23,enrollment_undergrad,7860
Brazil,2023/24,enrollment_grad,5031
Brazil,2023/24,enrollment_other,3633
Brazil,2023/24,enrollment_undergrad,8213
Brazil,2024/25,enrollment_grad,5210
Brazil,2024/25,enrollment_other,3477
Brazil,2024/25,enrollment_undergrad,8590
Canada,2000/01,enrollment_grad,10694
Canada,2000/01,enrollment_other,1105
Canada,2000/01,enrollment_undergrad,13480
Canada,2001/02,enrollment_grad,11810
Canada,2001/02,enrollment_other,1233
Canada,2001/02,enrollment_undergrad,13472
Canada,2002/03,enrollment_grad,11252
Canada,2002/03,enrollment_other,1402
Canada,2002/03,enrollment_undergrad,13859
Canada,2003/04,enrollment_grad,12129
Canada,2003/04,enrollment_other,892
Canada,2003/04,enrollment_undergrad,13996
Canada,2004/05,enrollment_grad,13087
Canada,2004/05,enrollment_other,1343
Canada,2004/05,enrollment_undergrad,13710
Canada,2005/06,enrollment_grad,12355
Canada,2005/06,enrollment_other,1590
Canada,2005/06,enrollment_undergrad,14257
Canada,2006/07,enrollment_grad,12491
Canada,2006/07,enrollment_other,2243
Canada,2006/07,enrollment_undergrad,13546
Canada,2007/08,enrollment_grad,13040
Canada,2007/08,enrollment_other,2388
Canada,2007/08,enrollment_undergrad,13623
Canada,2008/09,enrollment_grad,13185
Canada,2008/09,enrollment_other,2251
Canada,2008/09,enrollment_undergrad,14261
Canada,2009/10,enrollment_grad,11950
Canada,2009/10,enrollment_other,2588
Canada,2009/10,enrollment_undergrad,13607
Canada,2010/11,enrollment_grad,11618
Canada,2010/11,enrollment_other,2774
Canada,2010/11,enrollment_undergrad,13154
Canada,2011/12,enrollment_grad,11190
Canada,2011/12,enrollment_other,2765
Canada,2011/12,enrollment_undergrad,12866
Canada,2012/13,enrollment_grad,10982
Canada,2012/13,enrollment_other,2980
Canada,2012/13,enrollment_undergrad,13395
Canada,2013/14,enrollment_grad,11207
Canada,2013/14,enrollment_other,3181
Canada,2013/14,enrollment_undergrad,13916
Canada,2014/15,enrollment_grad,10605
Canada,2014/15,enrollment_other,3504
Canada,2014/15,enrollment_undergrad,13131
Canada,2015/16,enrollment_grad,10220
Canada,2015/16,enrollment_other,3530
Canada,2015/16,enrollment_undergrad,13223
Canada,2016/17,enrollment_grad,10113
Canada,2016/17,enrollment_other,3761
Canada,2016/17,enrollment_undergrad,13191
Canada,2017/18,enrollment_grad,9517
Canada,2017/18,enrollment_other,3811
Canada,2017/18,enrollment_undergrad,12581
Canada,2018/19,enrollment_grad,9471
Canada,2018/19,enrollment_other,4181
Canada,2018/19,enrollment_undergrad,12470
Canada,2019/20,enrollment_grad,9488
Canada,2019/20,enrollment_other,4095
Canada,2019/20,enrollment_undergrad,12409
Canada,2020/21,enrollment_grad,9499
Canada,2020/21,enrollment_other,3663
Canada,2020/21,enrollment_undergrad,11981
Canada,2021/22,enrollment_grad,10338
Canada,2021/22,enrollment_other,3671
Canada,2021/22,enrollment_undergrad,13004
Canada,2022/23,enrollment_grad,10669
Canada,2022/23,enrollment_other,4156
Canada,2022/23,enrollment_undergrad,13051
Canada,2023/24,enrollment_grad,10428
Canada,2023/24,enrollment_other,4844
Canada,2023/24,enrollment_undergrad,13726
Canada,2024/25,enrollment_grad,9887
Canada,2024/25,enrollment_other,4999
Canada,2024/25,enrollment_undergrad,15017
China,2000/01,enrollment_grad,48029
China,2000/01,enrollment_other,3658
China,2000/01,enrollment_undergrad,8252
China,2001/02,enrollment_grad,50969
China,2001/02,enrollment_other,3583
China,2001/02,enrollment_undergrad,8659
China,2002/03,enrollment_grad,52235
China,2002/03,enrollment_other,3038
China,2002/03,enrollment_undergrad,9484
China,2003/04,enrollment_grad,50796
China,2003/04,enrollment_other,2935
China,2003/04,enrollment_undergrad,8034
China,2004/05,enrollment_grad,49293
China,2004/05,enrollment_other,4931
China,2004/05,enrollment_undergrad,8299
China,2005/06,enrollment_grad,47617
China,2005/06,enrollment_other,5661
China,2005/06,enrollment_undergrad,9304
China,2006/07,enrollment_grad,47968
China,2006/07,enrollment_other,9767
China,2006/07,enrollment_undergrad,9988
China,2007/08,enrollment_grad,53047
China,2007/08,enrollment_other,11630
China,2007/08,enrollment_undergrad,16450
China,2008/09,enrollment_grad,57452
China,2008/09,enrollment_other,14508
China,2008/09,enrollment_undergrad,26275
China,2009/10,enrollment_grad,66453
China,2009/10,enrollment_other,21254
China,2009/10,enrollment_undergrad,39921
China,2010/11,enrollment_grad,76830
China,2010/11,enrollment_other,23752
China,2010/11,enrollment_undergrad,56976
China,2011/12,enrollment_grad,88429
China,2011/12,enrollment_other,31084
China,2011/12,enrollment_undergrad,74516
China,2012/13,enrollment_grad,103505
China,2012/13,enrollment_other,38303
China,2012/13,enrollment_undergrad,93789
China,2013/14,enrollment_grad,115727
China,2013/14,enrollment_other,48162
China,2013/14,enrollment_undergrad,110550
China,2014/15,enrollment_grad,120331
China,2014/15,enrollment_other,59157
China,2014/15,enrollment_undergrad,124552
China,2015/16,enrollment_grad,123250
China,2015/16,enrollment_other,69668
China,2015/16,enrollment_undergrad,135629
China,2016/17,enrollment_grad,128320
China,2016/17,enrollment_other,79584
China,2016/17,enrollment_undergrad,142851
China,2017/18,enrollment_grad,130843
China,2017/18,enrollment_other,83905
China,2017/18,enrollment_undergrad,148593
China,2018/19,enrollment_grad,133396
China,2018/19,enrollment_other,87272
China,2018/19,enrollment_undergrad,148880
China,2019/20,enrollment_grad,137096
China,2019/20,enrollment_other,87276
China,2019/20,enrollment_undergrad,148160
China,2020/21,enrollment_grad,118859
China,2020/21,enrollment_other,72824
China,2020/21,enrollment_undergrad,125616
China,2021/22,enrollment_grad,123182
China,2021/22,enrollment_other,57412
China,2021/22,enrollment_undergrad,109492
China,2022/23,enrollment_grad,126028
China,2022/23,enrollment_other,63149
China,2022/23,enrollment_undergrad,100349
China,2023/24,enrollment_grad,122778
China,2023/24,enrollment_other,67069
China,2023/24,enrollment_undergrad,87551
China,2024/25,enrollment_grad,120229
China,2024/25,enrollment_other,67107
China,2024/25,enrollment_undergrad,78583
India,2000/01,enrollment_grad,39797
India,2000/01,enrollment_other,2608
India,2000/01,enrollment_undergrad,12259
India,2001/02,enrollment_grad,49730
India,2001/02,enrollment_other,2785
India,2001/02,enrollment_undergrad,14321
India,2002/03,enrollment_grad,58322
India,2002/03,enrollment_other,2467
India,2002/03,enrollment_undergrad,13813
India,2003/04,enrollment_grad,63013
India,2003/04,enrollment_other,3192
India,2003/04,enrollment_undergrad,13531
India,2004/05,enrollment_grad,57976
India,2004/05,enrollment_other,6047
India,2004/05,enrollment_undergrad,16443
India,2005/06,enrollment_grad,56397
India,2005/06,enrollment_other,7380
India,2005/06,enrollment_undergrad,12726
India,2006/07,enrollment_grad,59570
India,2006/07,enrollment_other,11682
India,2006/07,enrollment_undergrad,12581
India,2007/08,enrollment_grad,68069
India,2007/08,enrollment_other,12855
India,2007/08,enrollment_undergrad,13639
India,2008/09,enrollment_grad,71019
India,2008/09,enrollment_other,16641
India,2008/09,enrollment_undergrad,15600
India,2009/10,enrollment_grad,68290
India,2009/10,enrollment_other,21415
India,2009/10,enrollment_undergrad,15192
India,2010/11,enrollment_grad,63624
India,2010/11,enrollment_other,26267
India,2010/11,enrollment_undergrad,14004
India,2011/12,enrollment_grad,59014
India,2011/12,enrollment_other,28197
India,2011/12,enrollment_undergrad,13059
India,2012/13,enrollment_grad,54607
India,2012/13,enrollment_other,29407
India,2012/13,enrollment_undergrad,12740
India,2013/14,enrollment_grad,61058
India,2013/14,enrollment_other,28938
India,2013/14,enrollment_undergrad,12677
India,2014/15,enrollment_grad,85055
India,2014/15,enrollment_other,31312
India,2014/15,enrollment_undergrad,16521
India,2015/16,enrollment_grad,101850
India,2015/16,enrollment_other,44766
India,2015/16,enrollment_undergrad,19302
India,2016/17,enrollment_grad,104899
India,2016/17,enrollment_other,59391
India,2016/17,enrollment_undergrad,21977
India,2017/18,enrollment_grad,95651
India,2017/18,enrollment_other,77274
India,2017/18,enrollment_undergrad,23346
India,2018/19,enrollment_grad,90333
India,2018/19,enrollment_other,86868
India,2018/19,enrollment_undergrad,24813
India,2019/20,enrollment_grad,85160
India,2019/20,enrollment_other,82932
India,2019/20,enrollment_undergrad,25032
India,2020/21,enrollment_grad,68869
India,2020/21,enrollment_other,74979
India,2020/21,enrollment_undergrad,23734
India,2021/22,enrollment_grad,102024
India,2021/22,enrollment_other,69613
India,2021/22,enrollment_undergrad,27545
India,2022/23,enrollment_grad,165936
India,2022/23,enrollment_other,71033
India,2022/23,enrollment_undergrad,31954
India,2023/24,enrollment_grad,196567
India,2023/24,enrollment_other,98982
India,2023/24,enrollment_undergrad,36053
India,2024/25,enrollment_grad,177892
India,2024/25,enrollment_other,144992
India,2024/25,enrollment_undergrad,40135
Iran,2000/01,enrollment_grad,1023
Iran,2000/01,enrollment_other,110
Iran,2000/01,enrollment_undergrad,711
