country,panel_year,shock_SH001_active,shock_SH002_active,shock_SH003_active,shock_SH004_active,shock_SH005_active,shock_SH006_active,shock_SH007_active,shock_SH008_active,shock_SH009_active,shock_SH010_active,shock_SH011_active,shock_SH012_active,shock_SH013_active,shock_SH014_active,shock_SH015_active,shock_SH016_active,shock_SH017_active,total_enrollment,enrollment_undergrad,enrollment_grad,enrollment_other,f1_visas_issued,total_economic_contribution_usd,total_jobs_supported,cpi_annual_avg
China,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54466,,,,16303,,,
China,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59939,8252.0,48029.0,3658.0,21586,,,172.20000000000002
China,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63211,8659.0,50969.0,3583.0,25218,,,177.0666666666667
China,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64757,9484.0,52235.0,3038.0,21784,,,179.875
China,2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61765,8034.0,50796.0,2935.0,16169,,,183.95833333333337
China,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62523,8299.0,49293.0,4931.0,18089,,,188.88333333333333
China,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62582,9304.0,47617.0,5661.0,21642,,,195.29166666666663
China,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67723,9988.0,47968.0,9767.0,28444,,,201.59166666666667
China,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81127,16450.0,53047.0,11630.0,39535,,,207.34241666666665
China,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98235,26275.0,57452.0,14508.0,56258,,,215.3025
China,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127628,39921.0,66453.0,21254.0,81842,,,214.537
China,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157558,56976.0,76830.0,23752.0,113772,,,218.0555
China,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194029,74516.0,88429.0,31084.0,153026,,,224.9391666666667
China,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235597,93789.0,103505.0,38303.0,189402,,,229.59391666666667
China,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274439,110550.0,115727.0,48162.0,217593,,,232.95708333333337
China,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,304040,124552.0,120331.0,59157.0,244927,30500000000.0,373383.0,236.73616666666663
China,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,328547,135629.0,123250.0,69668.0,274460,32800000000.0,400844.0,237.017
China,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,350755,142851.0,128320.0,79584.0,148016,36900000000.0,450331.0,240.00716666666665
China,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,363341,148593.0,130843.0,83905.0,112817,39000000000.0,455622.0,245.11958333333337
China,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,369548,148880.0,133396.0,87272.0,98904,40500000000.0,458290.0,251.10683333333336
China,2019,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,372532,148160.0,137096.0,87276.0,105775,38700000000.0,415996.0,255.65741666666668
China,2020,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,317299,125616.0,118859.0,72824.0,14436,28400000000.0,306308.0,258.8111666666667
China,2021,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,290086,109492.0,123182.0,57412.0,90310,33800000000.0,335423.0,270.96975000000003
China,2022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,289526,100349.0,126028.0,63149.0,61894,40100000000.0,368333.0,292.6549166666667
China,2023,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,277398,87551.0,122778.0,67069.0,85950,43800000000.0,378175.0,304.7015833333333
China,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,265919,78583.0,120229.0,67107.0,82654,42900000000.0,355736.0,313.6888333333333
India,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42337,,,,15286,,,
India,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54664,12259.0,39797.0,2608.0,20469,,,172.20000000000002
India,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66836,14321.0,49730.0,2785.0,24106,,,177.0666666666667
India,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74603,13813.0,58322.0,2467.0,20771,,,179.875
India,2003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79736,13531.0,63013.0,3192.0,19152,,,183.95833333333337
India,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80466,16443.0,57976.0,6047.0,18309,,,188.88333333333333
India,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76503,12726.0,56397.0,7380.0,20173,,,195.29166666666663
India,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83833,12581.0,59570.0,11682.0,26342,,,201.59166666666667
India,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94563,13639.0,68069.0,12855.0,34471,,,207.34241666666665
India,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103260,15600.0,71019.0,16641.0,36149,,,215.3025
India,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104897,15192.0,68290.0,21415.0,26890,,,214.537
India,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103895,14004.0,63624.0,26267.0,25783,,,218.0555
India,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100270,13059.0,59014.0,28197.0,25649,,,224.9391666666667
India,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96754,12740.0,54607.0,29407.0,23446,,,229.59391666666667
