country,fiscal_year,f1_visas_issued
Nigeria,1997,743
Afghanistan,1997,13
China,1997,11909
India,1997,10532
Iran,1997,365
Iraq,1997,36
Israel,1997,1806
Japan,1997,35157
South Korea,1997,36188
Nepal,1997,920
Vietnam,1997,1153
Russia,1997,4159
Ukraine,1997,712
Canada,1997,161
Mexico,1997,9362
Brazil,1997,12293
Nigeria,1998,870
Afghanistan,1998,22
China,1998,13958
India,1998,12154
Iran,1998,369
Iraq,1998,39
Israel,1998,1822
Japan,1998,34063
South Korea,1998,21271
Nepal,1998,1144
Vietnam,1998,1193
Russia,1998,4359
Ukraine,1998,784
Canada,1998,178
Mexico,1998,8598
Brazil,1998,14812
Nigeria,1999,982
Afghanistan,1999,22
China,1999,16303
India,1999,15286
Iran,1999,450
Iraq,1999,32
Israel,1999,1772
Japan,1999,33762
South Korea,1999,20883
Nepal,1999,800
Vietnam,1999,886
Russia,1999,2818
Ukraine,1999,623
Canada,1999,203
Mexico,1999,7683
Brazil,1999,13985
Nigeria,2000,1098
Afghanistan,2000,17
China,2000,21586
India,2000,20469
Iran,2000,658
Iraq,2000,33
Israel,2000,1684
Japan,2000,32661
South Korea,2000,27520
Nepal,2000,986
Vietnam,2000,930
Russia,2000,2234
Ukraine,2000,638
Canada,2000,182
Mexico,2000,7840
Brazil,2000,12452
Nigeria,2001,1995
Afghanistan,2001,28
China,2001,25218
India,2001,24106
Iran,2001,858
Iraq,2001,33
Israel,2001,1474
Japan,2001,32237
South Korea,2001,28977
Nepal,2001,1254
Vietnam,2001,1076
Russia,2001,1979
Ukraine,2001,734
Canada,2001,189
Mexico,2001,7779
Brazil,2001,12524
Nigeria,2002,2465
Afghanistan,2002,21
China,2002,21784
India,2002,20771
Iran,2002,295
Iraq,2002,5
Israel,2002,1258
Japan,2002,25036
South Korea,2002,26670
Nepal,2002,1461
Vietnam,2002,1523
Russia,2002,1571
Ukraine,2002,523
Canada,2002,194
Mexico,2002,8074
Brazil,2002,8335
Nigeria,2003,2100
Afghanistan,2003,27
China,2003,16169
India,2003,19152
Iran,2003,272
Iraq,2003,11
Israel,2003,1141
Japan,2003,24825
South Korea,2003,28695
Nepal,2003,1632
Vietnam,2003,1390
Russia,2003,1473
Ukraine,2003,577
Canada,2003,168
Mexico,2003,8593
Brazil,2003,7066
Nigeria,2004,1957
Afghanistan,2004,42
China,2004,18089
India,2004,18309
Iran,2004,349
Iraq,2004,21
Israel,2004,1053
Japan,2004,24562
South Korea,2004,29673
Nepal,2004,1464
Vietnam,2004,1827
Russia,2004,1535
Ukraine,2004,567
Canada,2004,190
Mexico,2004,8052
Brazil,2004,6683
Nigeria,2005,1995
Afghanistan,2005,65
China,2005,21642
India,2005,20173
Iran,2005,468
Iraq,2005,46
Israel,2005,1079
Japan,2005,24554
South Korea,2005,35310
Nepal,2005,1968
Vietnam,2005,2404
Russia,2005,2212
Ukraine,2005,628
Canada,2005,153
Mexico,2005,8069
Brazil,2005,5845
Nigeria,2006,1658
Afghanistan,2006,118
China,2006,28444
India,2006,26342
Iran,2006,646
Iraq,2006,90
Israel,2006,1189
Japan,2006,23417
South Korea,2006,42681
Nepal,2006,3401
Vietnam,2006,3718
Russia,2006,2427
Ukraine,2006,605
Canada,2006,172
Mexico,2006,7885
Brazil,2006,5926
Nigeria,2007,2259
Afghanistan,2007,137
China,2007,39535
India,2007,34471
Iran,2007,799
Iraq,2007,135
Israel,2007,1170
Japan,2007,21900
South Korea,2007,45915
Nepal,2007,3216
Vietnam,2007,6152
Russia,2007,2993
Ukraine,2007,668
Canada,2007,191
Mexico,2007,7778
Brazil,2007,7418
Nigeria,2008,2377
Afghanistan,2008,152
China,2008,56258
