academic_year,total_economic_contribution_usd,total_jobs_supported,source_notes
2014/15,30500000000,373383,"NAFSA press release Nov. 16, 2015; NAFSA Economic Value Trends report (exact jobs)"
2015/16,32800000000,400844,"NAFSA press release Nov. 14, 2016 (PR Newswire); NAFSA Economic Value Trends report (exact jobs)"
2016/17,36900000000,450331,"NAFSA press release Nov. 13, 2017; NAFSA blog May 9, 2018"
2017/18,39000000000,455622,"NAFSA press release Nov. 13, 2018"
2018/19,40500000000,458290,"NAFSA Economic Value Trends report; NAFSA ISEV 2019 PDF (jobs; original PDF rounds dollars to $41.0B)"
2019/20,38700000000,415996,"NAFSA ISEV 2020 PDF; NAFSA press release Nov. 16, 2020"
2020/21,28400000000,306308,"NAFSA press release Nov. 15, 2021"
2021/22,33800000000,335423,"NAFSA EconValue-2022 PDF; NAFSA press release Nov. 14, 2022"
2022/23,40100000000,368333,"NAFSA EconValue-2023_final PDF; NAFSA press release Nov. 13, 2023"
2023/24,43800000000,378175,"NAFSA EconValue2024 PDF; NAFSA press release Nov. 18, 2024"
2024/25,42900000000,355736,"NAFSA EconValue2025 PDF; NAFSA press release Nov. 17, 2025"
